group,subgroup,month,services
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Aug-08,"11,875"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Sep-08,"12,874"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Oct-08,"14,114"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Nov-08,"13,442"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Dec-08,"13,874"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jan-09,"14,534"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Feb-09,"18,759"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Mar-09,"21,235"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Apr-09,"16,997"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,May-09,"18,034"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jun-09,"17,949"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jul-09,"19,561"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Aug-09,"19,628"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Sep-09,"20,884"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Oct-09,"21,373"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Nov-09,"20,666"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Dec-09,"21,272"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jan-10,"20,501"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Feb-10,"26,659"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Mar-10,"31,022"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Apr-10,"25,326"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,May-10,"27,011"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jun-10,"28,118"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jul-10,"28,349"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Aug-10,"29,084"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Sep-10,"29,699"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Oct-10,"29,523"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Nov-10,"32,567"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Dec-10,"29,491"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jan-11,"30,810"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Feb-11,"41,682"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Mar-11,"49,463"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Apr-11,"37,676"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,May-11,"42,615"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jun-11,"41,247"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jul-11,"38,106"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Aug-11,"43,405"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Sep-11,"42,460"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Oct-11,"40,683"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Nov-11,"44,254"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Dec-11,"39,267"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jan-12,"41,528"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Feb-12,"53,951"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Mar-12,"71,478"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Apr-12,"58,444"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,May-12,"64,111"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jun-12,"52,459"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jul-12,"52,969"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Aug-12,"59,926"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Sep-12,"52,856"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Oct-12,"57,248"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Nov-12,"60,396"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Dec-12,"47,438"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jan-13,"63,411"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Feb-13,"71,623"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Mar-13,"97,276"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Apr-13,"89,615"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,May-13,"82,207"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jun-13,"63,617"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jul-13,"69,786"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Aug-13,"73,942"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Sep-13,"68,239"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Oct-13,"74,611"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Nov-13,"72,754"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Dec-13,"61,406"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jan-14,"85,004"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Feb-14,"96,709"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Mar-14,"138,701"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Apr-14,"114,274"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,May-14,"109,471"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jun-14,"91,875"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jul-14,"96,366"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Aug-14,"91,210"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Sep-14,"97,168"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Oct-14,"100,536"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Nov-14,"91,667"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Dec-14,"88,405"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jan-15,"107,039"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Feb-15,"124,932"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Mar-15,"135,401"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Apr-15,"180,910"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,May-15,"157,297"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jun-15,"123,861"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jul-15,"125,162"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Aug-15,"118,340"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Sep-15,"118,783"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Oct-15,"123,771"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Nov-15,"121,666"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Dec-15,"111,630"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jan-16,"127,161"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Feb-16,"161,976"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Mar-16,"152,203"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Apr-16,"222,881"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,May-16,"203,349"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jun-16,"149,430"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jul-16,"134,996"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Aug-16,"154,356"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Sep-16,"143,647"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Oct-16,"136,335"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Nov-16,"158,198"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Dec-16,"124,772"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jan-17,"161,398"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Feb-17,"196,259"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Mar-17,"206,767"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Apr-17,"229,920"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,May-17,"253,877"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jun-17,"186,037"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jul-17,"166,954"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Aug-17,"190,116"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Sep-17,"175,017"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Oct-17,"183,105"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Nov-17,"184,604"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Dec-17,"146,709"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jan-18,"206,256"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Feb-18,"222,067"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Mar-18,"228,688"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Apr-18,"245,917"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,May-18,"366,569"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jun-18,"217,953"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jul-18,"202,306"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Aug-18,"219,652"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Sep-18,"188,368"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Oct-18,"208,638"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Nov-18,"204,731"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Dec-18,"163,382"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jan-19,"224,669"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Feb-19,"244,223"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Mar-19,"251,751"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Apr-19,"285,351"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,May-19,"400,060"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jun-19,"235,295"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jul-19,"232,289"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Aug-19,"235,018"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Sep-19,"212,196"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Oct-19,"224,835"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Nov-19,"217,975"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Dec-19,"175,959"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Jan-20,"245,843"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Feb-20,"270,521"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,3 Practice Nurse/Aboriginal Health Worker service,Mar-20,"252,145"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Jul-11,6
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Aug-11,19
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Sep-11,28
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Oct-11,21
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Nov-11,30
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Dec-11,42
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Jan-12,79
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Feb-12,100
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Mar-12,118
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Apr-12,112
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,May-12,164
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Jun-12,199
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Jul-12,202
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Aug-12,264
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Sep-12,187
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Oct-12,277
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Nov-12,299
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Dec-12,320
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Jan-13,181
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Feb-13,278
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Mar-13,415
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Apr-13,286
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,May-13,302
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Jun-13,367
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Jul-13,369
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Aug-13,343
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Sep-13,360
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Oct-13,447
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Nov-13,369
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Dec-13,390
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Jan-14,309
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Feb-14,512
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Mar-14,409
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Apr-14,332
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,May-14,501
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Jun-14,473
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Jul-14,524
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Aug-14,508
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Sep-14,529
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Oct-14,540
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Nov-14,678
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Dec-14,558
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Jan-15,411
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Feb-15,545
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Mar-15,669
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Apr-15,749
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,May-15,"1,199"
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Jun-15,843
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Jul-15,837
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Aug-15,606
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Sep-15,554
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Oct-15,566
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Nov-15,666
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Dec-15,634
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Jan-16,331
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Feb-16,684
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Mar-16,626
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Apr-16,615
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,May-16,539
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Jun-16,634
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Jul-16,534
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Aug-16,777
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Sep-16,685
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Oct-16,633
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Nov-16,719
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Dec-16,596
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Jan-17,406
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Feb-17,758
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Mar-17,745
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Apr-17,508
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,May-17,704
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Jun-17,750
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Jul-17,727
M12 Services provided by a Practice Nurse/Registered Aboriginal Health Worker,1 Telehealth support service on behalf of a medical practitioner,Aug-17,759
